,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
91, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T07:18:57.200000Z, , , , , ,,
92, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T07:16:57.200000Z, , , , , ,,
93, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T06:35:57.200000Z, , , , , ,,
94, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T06:29:57.200000Z, , , , , ,2023-12-26T06:30:34.729999Z,2023-12-26T06:30:21.050000Z
95, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T06:29:57.200000Z, , , , , ,2023-12-26T06:30:34.729999Z,2023-12-26T06:30:21.050000Z
96, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T05:28:57.200000Z, , , , , ,,
97, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T05:13:57.200000Z, , , , , ,,
98, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-26T04:17:57.200000Z, , , , , ,,
99, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T21:04:57.200000Z, , , , , ,,
100, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T20:52:57.200000Z, , , , , ,,
101, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T20:44:57.200000Z, , , , , ,2023-12-25T20:45:39.659999Z,2023-12-25T20:45:32.339999Z
102, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T19:41:57.200000Z, , , , , ,,
103, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T19:32:57.200000Z, , , , , ,,
104, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T18:07:57.200000Z, , , , , ,,
105, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T17:19:57.200000Z, , , , , ,,
106, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T17:14:57.200000Z, , , , , ,,
107, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T17:06:57.200000Z, , , , , ,,
108, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T16:18:57.200000Z, , , , , ,,
